iter	Passed	Remaining
0	147	146875
1	149	74685
2	152	50610
3	155	38712
4	157	31438
5	160	26640
6	163	23178
7	166	20588
8	168	18528
9	171	16957
10	173	15573
11	174	14390
12	176	13366
13	177	12487
14	178	11726
15	179	11060
16	181	10468
17	182	9935
18	183	9457
19	184	9039
20	185	8649
21	186	8294
22	187	7966
23	188	7664
24	189	7385
25	190	7127
26	191	6886
27	191	6663
28	192	6460
29	193	6264
30	194	6080
31	195	5907
32	196	5744
33	196	5589
34	197	5446
35	198	5311
36	199	5186
37	199	5063
38	200	4944
39	201	4831
40	201	4724
41	202	4621
42	203	4524
43	203	4430
44	204	4341
45	205	4256
46	205	4175
47	206	4096
48	207	4019
49	207	3946
50	208	3877
51	208	3810
52	209	3745
53	210	3682
54	210	3622
55	211	3568
56	212	3517
57	213	3473
58	215	3429
59	215	3383
60	216	3335
61	217	3288
62	218	3243
63	218	3200
64	219	3157
65	220	3116
66	220	3076
67	221	3033
68	222	2995
69	222	2959
70	223	2924
71	224	2888
72	224	2853
73	225	2819
74	226	2791
75	227	2760
76	227	2730
77	228	2701
78	229	2674
79	230	2646
80	230	2618
81	231	2591
82	232	2565
83	232	2540
84	233	2512
85	234	2488
86	234	2462
87	235	2439
88	236	2416
89	236	2394
90	237	2371
91	238	2349
92	238	2327
93	239	2305
94	239	2285
95	240	2264
96	241	2244
97	241	2224
98	242	2205
99	242	2186
100	243	2168
101	243	2148
102	244	2130
103	245	2112
104	245	2095
105	246	2077
106	246	2061
107	247	2044
108	248	2028
109	248	2013
110	249	1997
111	250	1982
112	250	1967
113	251	1952
114	251	1937
115	252	1922
116	252	1908
117	253	1895
118	254	1880
119	254	1867
120	255	1854
121	255	1841
122	256	1826
123	256	1813
124	257	1801
125	257	1789
126	258	1777
127	259	1764
128	259	1752
129	260	1741
130	260	1730
131	261	1719
132	262	1708
133	262	1697
134	263	1686
135	263	1676
136	264	1666
137	265	1655
138	265	1645
139	266	1635
140	266	1625
141	267	1616
142	268	1606
143	268	1597
144	269	1588
145	269	1578
146	270	1569
147	271	1560
148	271	1551
149	272	1543
150	272	1534
151	273	1526
152	274	1518
153	274	1509
154	275	1501
155	276	1493
156	276	1485
157	277	1477
158	277	1469
159	278	1461
160	279	1454
161	279	1446
162	280	1439
163	280	1431
164	281	1424
165	282	1417
166	282	1410
167	283	1403
168	283	1396
169	284	1389
170	285	1382
171	285	1375
172	286	1368
173	286	1362
174	287	1355
175	288	1348
176	288	1342
177	289	1336
178	290	1330
179	290	1323
180	290	1316
181	291	1310
182	292	1304
183	292	1298
184	293	1292
185	293	1286
186	294	1280
187	295	1274
188	295	1268
189	296	1263
190	296	1257
191	297	1252
192	298	1246
193	298	1241
194	299	1235
195	299	1230
196	300	1225
197	301	1219
198	301	1214
199	302	1209
200	302	1204
201	303	1199
202	304	1194
203	304	1189
204	305	1184
205	306	1179
206	306	1174
207	307	1170
208	307	1165
209	308	1160
210	309	1155
211	309	1151
212	310	1146
213	310	1142
214	311	1137
215	312	1132
216	312	1128
217	313	1124
218	314	1119
219	314	1115
220	315	1111
221	315	1106
222	316	1102
223	316	1098
224	317	1093
225	318	1089
226	318	1085
227	319	1081
228	319	1077
229	320	1073
230	321	1069
231	321	1065
232	322	1061
233	323	1057
234	323	1053
235	324	1051
236	325	1049
237	326	1046
238	327	1043
239	328	1040
240	329	1037
241	329	1033
242	330	1029
243	331	1026
244	331	1022
245	332	1018
246	333	1015
247	333	1011
248	334	1008
249	334	1004
250	335	1001
251	336	997
252	336	993
253	337	990
254	337	987
255	338	983
256	339	980
257	339	976
258	340	973
259	340	970
260	341	966
261	342	963
262	342	960
263	343	957
264	343	953
265	344	950
266	345	947
267	345	944
268	346	941
269	346	937
270	347	934
271	348	932
272	348	928
273	349	925
274	350	922
275	350	919
276	351	916
277	351	913
278	352	910
279	353	908
280	353	905
281	354	902
282	354	899
283	355	896
284	356	893
285	356	890
286	357	887
287	357	884
288	358	882
289	359	879
290	359	876
291	360	873
292	360	870
293	361	868
294	362	865
295	362	862
296	363	860
297	364	857
298	364	855
299	365	852
300	365	849
301	366	847
302	367	844
303	367	842
304	368	839
305	369	836
306	369	834
307	370	831
308	370	829
309	371	826
310	372	824
311	372	821
312	373	819
313	373	816
314	374	814
315	375	811
316	375	809
317	376	806
318	376	804
319	377	802
320	378	799
321	378	797
322	379	795
323	379	792
324	380	790
325	381	788
326	381	786
327	382	783
328	383	781
329	383	779
330	384	776
331	384	774
332	385	772
333	386	769
334	386	767
335	387	765
336	387	763
337	388	761
338	389	758
339	389	756
340	390	754
341	390	752
342	391	750
343	392	747
344	392	745
345	393	743
346	394	741
347	394	739
348	395	737
349	395	735
350	396	733
351	397	730
352	397	728
353	398	726
354	398	724
355	399	722
356	399	720
357	400	718
358	401	716
359	401	714
360	402	712
361	402	710
362	403	708
363	404	706
364	404	704
365	405	702
366	405	700
367	406	698
368	407	696
369	407	694
370	408	692
371	409	690
372	409	688
373	410	686
374	410	684
375	411	683
376	412	681
377	412	679
378	413	677
379	413	675
380	414	673
381	415	671
382	415	669
383	416	667
384	416	666
385	417	664
386	418	662
387	418	660
388	419	658
389	420	656
390	420	655
391	421	653
392	421	651
393	422	649
394	423	648
395	423	646
396	424	644
397	424	642
398	425	641
399	426	639
400	426	637
401	427	635
