iter	Passed	Remaining
0	129	129767
1	132	65885
2	134	44616
3	136	34078
4	139	27731
5	142	23569
6	144	20532
7	146	18225
8	149	16421
9	151	15028
10	154	13858
11	156	12866
12	158	12040
13	161	11375
14	164	10793
15	167	10278
16	169	9826
17	173	9453
18	175	9055
19	180	8824
20	183	8549
21	186	8301
22	189	8070
23	192	7827
24	198	7747
25	202	7596
26	204	7379
27	207	7214
28	211	7095
29	214	6934
30	217	6801
31	220	6672
32	222	6516
33	230	6561
34	234	6463
35	236	6343
36	242	6311
37	245	6211
38	248	6127
39	251	6028
40	255	5967
41	257	5881
42	260	5794
43	263	5732
44	266	5651
45	270	5604
46	273	5536
47	276	5476
48	279	5424
49	281	5348
50	284	5288
51	286	5227
52	290	5185
53	292	5124
54	294	5060
55	296	4997
56	300	4975
57	303	4934
58	306	4888
59	308	4833
60	310	4782
61	312	4730
62	316	4708
63	319	4668
64	321	4627
65	323	4580
66	335	4676
67	338	4637
68	346	4670
69	348	4627
70	350	4590
71	354	4563
72	357	4543
73	363	4548
74	366	4522
75	370	4502
76	372	4462
77	376	4454
78	379	4419
79	383	4413
80	388	4406
81	393	4402
82	397	4388
83	400	4363
84	402	4333
85	404	4299
86	408	4286
87	411	4263
88	414	4239
89	416	4213
90	418	4183
91	420	4154
92	427	4165
93	432	4169
94	435	4147
95	440	4149
96	443	4128
97	446	4106
98	448	4083
99	451	4060
100	455	4052
101	457	4031
102	461	4017
103	463	3992
104	467	3982
105	472	3987
106	475	3968
107	478	3955
108	481	3938
109	486	3933
110	489	3923
111	497	3943
112	507	3981
113	510	3968
114	514	3956
115	521	3974
116	523	3950
117	525	3928
118	527	3906
119	535	3924
120	539	3916
121	553	3981
122	558	3982
123	565	3993
124	575	4029
125	581	4031
126	584	4014
127	586	3993
128	588	3972
129	591	3961
130	599	3975
131	602	3964
132	605	3946
133	608	3934
134	614	3935
135	617	3925
136	621	3915
137	626	3914
138	629	3902
139	632	3887
140	634	3868
141	636	3844
142	643	3854
143	646	3843
144	649	3828
145	652	3815
146	660	3833
147	664	3825
148	672	3841
149	677	3840
150	679	3823
151	682	3808
152	687	3808
153	691	3796
154	693	3783
155	699	3784
156	702	3773
157	705	3760
158	708	3746
159	713	3744
160	714	3725
161	716	3708
162	720	3697
163	722	3682
164	724	3665
165	729	3665
166	732	3653
167	734	3639
168	737	3627
169	739	3611
170	744	3610
171	750	3612
172	754	3608
173	760	3611
174	763	3599
175	766	3589
176	769	3579
177	774	3575
178	777	3567
179	781	3560
180	785	3553
181	789	3546
182	793	3541
183	796	3530
184	802	3534
185	807	3534
186	809	3521
187	816	3525
188	818	3512
189	820	3499
190	824	3490
191	826	3478
192	829	3466
193	831	3453
194	833	3439
195	838	3439
196	842	3433
197	844	3419
198	845	3403
199	846	3387
200	848	3371
201	850	3358
202	852	3345
203	854	3335
204	857	3326
205	861	3318
206	863	3309
207	868	3306
208	871	3299
209	874	3290
210	876	3279
211	878	3266
212	884	3267
213	887	3260
214	903	3299
215	907	3293
216	909	3283
217	914	3279
218	918	3274
219	921	3268
220	930	3280
221	934	3275
222	937	3265
223	940	3257
224	944	3252
225	946	3242
226	949	3234
227	954	3230
228	958	3225
229	964	3228
230	965	3215
231	967	3204
232	972	3200
233	978	3203
234	981	3196
235	984	3188
236	988	3181
237	995	3187
238	1000	3186
239	1003	3177
240	1006	3169
241	1011	3168
242	1015	3164
243	1018	3154
244	1026	3163
245	1030	3158
246	1036	3161
247	1042	3159
248	1045	3153
249	1054	3162
250	1056	3153
251	1059	3143
252	1063	3138
253	1066	3131
254	1069	3123
255	1071	3114
256	1074	3106
257	1077	3098
258	1080	3091
259	1083	3082
260	1087	3077
261	1095	3086
262	1098	3078
263	1101	3071
264	1105	3066
265	1112	3070
266	1115	3062
267	1118	3055
268	1120	3045
269	1123	3037
270	1127	3032
271	1131	3027
272	1133	3019
273	1135	3009
274	1137	2999
275	1147	3009
276	1150	3003
277	1156	3004
278	1159	2995
279	1161	2987
280	1164	2979
281	1166	2969
282	1168	2959
283	1174	2962
284	1177	2953
285	1179	2943
286	1181	2935
287	1187	2935
288	1190	2929
289	1193	2921
290	1195	2911
291	1203	2918
292	1205	2910
293	1207	2900
294	1211	2894
295	1214	2888
296	1222	2894
297	1225	2888
298	1234	2894
299	1240	2893
300	1242	2885
301	1244	2876
302	1250	2876
303	1253	2870
304	1256	2862
305	1258	2854
306	1260	2845
307	1268	2849
308	1271	2842
309	1274	2837
310	1287	2852
311	1291	2846
312	1294	2842
313	1299	2838
314	1302	2832
315	1305	2826
316	1309	2820
317	1314	2818
318	1317	2811
319	1319	2804
320	1322	2796
321	1324	2788
322	1328	2783
323	1331	2779
324	1334	2771
325	1337	2764
326	1342	2762
327	1345	2756
328	1348	2749
329	1350	2742
330	1354	2737
331	1358	2733
332	1360	2725
333	1362	2716
334	1365	2711
335	1368	2703
336	1373	2701
337	1376	2695
